scene count,release_cuda simulation time,release_cuda total time
4,523808872,524561572
4,524072434,524885030
5,525581210,526395577
6,527391929,528145950
6,526120817,526865025
8,527669379,528479292
9,533141378,533955942
10,531345557,532091796
12,535749192,536501749
13,533173230,533928660
16,536105161,536859436
18,554610649,555366565
21,563430380,564185801
24,563275665,564031777
27,578411021,579166586
32,577260672,578041903
36,600439030,601187404
42,608237461,609013632
48,609607719,610361369
55,616760222,617537394
64,621582742,622335346
73,649122338,649871618
84,661660622,662411938
97,683370721,684148909
111,694743577,695495712
128,715718830,716519292
147,756016452,756814596
168,775334034,776127105
194,802352993,803158045
222,820048394,820843075
256,850570600,851359962
294,854298144,855098027
337,853740686,854549752
388,854941835,855795709
445,853885480,854682803
512,866916847,868728352
588,869117670,869986434
675,867481390,868292581
776,866122979,866941525
891,868452051,869250485
1024,868760757,869634272
1176,870611880,871467031
1351,870310198,871122984
1552,871696582,872511071
1782,871494907,872298197
2048,875814830,877623747
2352,896091866,897942250
2702,899232477,901082504
3104,928987059,929822035
3565,960625970,961453575
4096,992798693,993629027
4705,1017967150,1019873477
5404,1034748727,1036590768
6208,1048281017,1050129952
7131,1058323243,1059215376
8192,1076049385,1076878565
9410,1099009318,1099839163
10809,1132652742,1134584778
12416,1181114207,1181963501
14263,1239658218,1240511227
16384,1307910948,1308773274
18820,1412347010,1413225307
21618,1568567752,1569423110
24833,1778518676,1779380602
28526,2033981750,2034901418
32768,2349517809,2350377575
37640,3350923178,3351774737
43237,3477868543,3478774621
49667,3674752801,3675626944
57052,4070197402,4071072969
65536,4682921330,4683822986
75281,5791167228,5793061485
86475,6192821214,6194783230
