scene count,release_cuda simulation time,release_cuda total time
4,293704077,294483710
4,293005550,293760006
5,294472218,295227149
6,294853836,295637415
6,294596037,295341306
8,295584962,296337960
9,299815850,300623499
10,300633163,301411019
12,303823605,304574468
13,302709098,303461007
16,304820825,305566442
18,320920107,321672936
21,317293073,318098725
24,322601757,323349372
27,324492157,325247594
32,327864873,328614328
36,341905721,342654988
42,340943493,341745728
48,341053864,341802966
55,347878178,348629098
64,351814386,352593730
73,364153374,364929043
84,372855204,373663725
97,385444124,386253372
111,386123809,386873913
128,398401747,399191894
147,422589587,423430655
168,432711134,433505037
194,445216721,446008865
222,453677919,454473925
256,466420577,467217184
294,468221339,469036797
337,467482812,468280513
388,469038578,470840380
445,469954605,470751442
512,475489063,476287106
588,478159257,478965535
675,477595810,478402585
776,479888358,481713373
891,477587071,478402450
1024,477425590,478231174
1176,479993693,480792278
1351,480042765,480874845
1552,478550338,479363421
1782,478073996,478880545
2048,479815556,481651274
2352,480006729,480831209
2702,480706883,481531638
3104,479779292,480631968
3565,481786654,482620201
4096,489036820,490883030
4705,497513455,498334757
5404,513653232,514481084
6208,534319674,536167260
7131,561790273,562625789
8192,586001865,586844117
9410,609740315,611636790
10809,634021860,635889051
12416,660952424,661811357
14263,694035114,694908318
16384,737703111,738562594
18820,791912885,792768328
21618,856138036,856984628
24833,959863218,960731769
28526,1084301495,1085163773
32768,1239537733,1240406118
37640,1707177293,1708041817
43237,1841628977,1842502092
49667,1975452541,1977344490
57052,2170516922,2171388341
65536,2481894538,2482767705
75281,3046689375,3047568323
86475,3292960538,3293831867
