scene count,release_cuda simulation time,release_cuda total time
4,372953004,373772938
4,372118354,372931788
5,372674215,373433301
6,374341238,375100629
6,374106498,374854686
8,374630983,375383708
9,377784437,378571183
10,377791621,378548867
12,379991538,380752324
13,379882785,380641853
16,381607778,382365757
18,394410488,395166712
21,394167997,394944869
24,398276687,399031971
27,401820812,402579774
32,403379197,404199115
36,416171007,416925595
42,422558855,423312087
48,424262602,425014461
55,431308180,432078170
64,439479411,440331153
73,452648528,453500965
84,464355951,465156613
97,482389126,483186901
111,484458197,485256549
128,494212719,495013248
147,526621658,527416754
168,542820995,543615760
194,559369990,560177743
222,572659664,573621881
256,595581762,596381436
294,597491588,599296112
337,596601665,598406912
388,597018929,598876950
445,597688919,598486141
512,603148379,603945467
588,604177521,604964113
675,602809896,603616541
776,607154517,608025915
891,608254796,609060195
1024,605089834,606889623
1176,605069969,606915657
1351,606324207,607178769
1552,605124185,605969092
1782,605818079,607669450
2048,607581945,609429118
2352,607555716,608418333
2702,609909737,610739087
3104,617199033,618027248
3565,628497004,629320044
4096,642774292,643632220
4705,663385897,664193719
5404,694304530,695177755
6208,719241730,720094162
7131,735937998,736809132
8192,756113533,757024550
9410,777734714,778581099
10809,809277671,810134029
12416,847622182,848482207
14263,896961723,897811861
16384,953427795,954293607
18820,1037263712,1038123940
21618,1162368117,1163209216
24833,1316558925,1317491616
28526,1501028625,1501891463
32768,1734095885,1735024220
37640,2405120743,2406002370
43237,2530681667,2532608580
49667,2692867461,2694764655
57052,3020778001,3021674473
65536,3463530198,3465446319
75281,4232022943,4232924657
86475,4596032037,4598007918
