scene count,release_cuda simulation time,release_cuda total time
4,292785654,293537088
4,293577789,294390991
5,294653623,295410578
6,294853635,295615118
6,294289017,295046121
8,295447397,296199698
9,300078299,300824885
10,300484867,301289729
12,304138116,304883888
13,302165506,302915644
16,304521986,305272014
18,318921077,319672066
21,316707937,317460144
24,319736676,320485917
27,323980019,324730591
32,328312160,329117160
36,339808143,340561579
42,338282051,339034140
48,342320441,343070379
55,346813211,347564768
64,350461453,351214696
73,360726852,361429480
84,370870087,371618143
97,386584285,387363946
111,387073193,387826256
128,399777288,400569410
147,419833475,420663191
168,432329906,433125420
194,444791886,445587933
222,452933398,453728004
256,467009537,467803845
294,469037634,469837847
337,469496194,470356317
388,469371407,470224553
445,467334318,469143574
512,476403402,478262608
588,475391277,476195625
675,477278014,478111800
776,478248552,480053497
891,477539579,478339961
1024,477644332,478450565
1176,479953051,480778556
1351,478887722,479698821
1552,477337836,478150579
1782,478623834,479435867
2048,478163420,479029026
2352,478684123,479502635
2702,480354614,481244720
3104,482887139,483773378
3565,482563904,483421783
4096,487755304,488582065
4705,494860728,495748995
5404,514631140,515460230
6208,529632990,530462605
7131,561660274,562489146
8192,586447671,588289692
9410,608877947,609762269
10809,634129909,634975512
12416,661126861,661976150
14263,694633128,695478902
16384,738816073,739674760
18820,792158076,793015472
21618,856190786,858075662
24833,959332853,960224324
28526,1084326120,1086207350
32768,1243076049,1243936010
37640,1702222994,1703151618
43237,1846400545,1847267074
49667,1978022124,1979906713
57052,2176932949,2177809097
65536,2482277117,2483210276
75281,3054808578,3055739904
86475,3296216705,3297098606
