scene count,release_cuda simulation time,release_cuda total time
4,293068872,293822382
4,293477009,294230641
5,294801243,295559965
6,294753818,295513550
6,294763887,295519107
8,296392482,297147414
9,300691169,301444659
10,301493749,302248410
12,304479413,305237218
13,302832470,303580962
16,307009917,307760725
18,319361859,320118365
21,319655285,320414671
24,319766071,320577048
27,324562609,325316086
32,329796474,330610465
36,342246796,343005841
42,337480343,338256214
48,340833245,341583929
55,346314863,347062483
64,351527102,352331373
73,360651943,361353876
84,371319814,372076052
97,385622027,386430964
111,390292851,391059154
128,397492753,398287523
147,419985098,420837199
168,431835007,432634116
194,445573523,446373646
222,453689096,454472097
256,466163606,466958276
294,470131255,470962010
337,469991605,471788846
388,469289286,470085286
445,468790676,469603237
512,476129251,476951822
588,476851249,477658503
675,476640616,478446243
776,478329158,480132825
891,477485144,478343914
1024,477471011,478281326
1176,479466528,480264616
1351,478778978,479590521
1552,478744315,479553836
1782,479574391,480381496
2048,481134600,481942358
2352,479897975,480789884
2702,480801706,481692307
3104,479907631,480730829
3565,481039006,481861098
4096,487531474,489377204
4705,495487763,496350643
5404,513661271,514495942
6208,532164548,534008076
7131,561369790,563175075
8192,585911091,586758489
9410,609388023,610243392
10809,633746408,634582617
12416,661063413,661920431
14263,694515017,695362577
16384,738319531,739166016
18820,792102832,792996579
21618,856000473,856863379
24833,959028485,960905619
28526,1084587038,1085467341
32768,1240216338,1241099320
37640,1706975756,1707845493
43237,1849047783,1849907055
49667,1977608304,1978465101
57052,2177094358,2178981789
65536,2475568814,2476441100
75281,3056756956,3057641989
86475,3295685411,3297581833
