scene count,release_cuda simulation time,release_cuda total time
4,261812719,262568722
4,262189215,262998756
5,262221909,262976620
6,263232274,263986552
6,263163547,263918196
8,264483373,265295366
9,270014500,270772154
10,270106291,270861272
12,272771952,273526969
13,271592632,272368344
16,272614891,273367058
18,286068278,286822386
21,292757123,293512741
24,287232361,287904095
27,295391479,296200519
32,294914204,295668198
36,303040080,303794868
42,305343815,306096703
48,310957299,311695613
55,312393225,313146823
64,319811366,320562048
73,330037779,330791591
84,337632780,338409657
97,347398859,348159769
111,351496377,352315421
128,359203151,360061688
147,376366637,377175137
168,388487261,389311935
194,398803275,399601478
222,405779532,406583386
256,419425502,420227242
294,419641995,420442572
337,421082049,422889663
388,418939727,419742126
445,420913170,421708298
512,425948874,426746661
588,427517348,428330169
675,428111577,428920081
776,428490320,430294533
891,426321033,427125158
1024,429677538,430483024
1176,429270859,430058416
1351,428373536,429204652
1552,427633191,428434973
1782,427630043,428439837
2048,428704248,429507030
2352,430058476,430883455
2702,428347827,429175894
3104,429057056,429885503
3565,428854742,429684300
4096,433542681,434372054
4705,438021996,438908392
5404,445361933,446189120
6208,461597506,462419486
7131,485741355,486630902
8192,509100377,510949357
9410,534503011,535333382
10809,561399171,562243007
12416,590130508,590999490
14263,627031624,627914943
16384,668090938,668947518
18820,726322309,727185861
21618,814141021,815046380
24833,925000338,925891456
28526,1055216372,1056074695
32768,1212375052,1213253772
37640,1658505599,1659436332
43237,1762724798,1763635383
49667,1885244051,1887128263
57052,2113095533,2114001707
65536,2417186502,2418067023
75281,2948741754,2949618244
86475,3211368645,3212270323
