scene count,release_cuda simulation time,release_cuda total time
4,271730559,272729173
4,260073461,260752389
5,262356055,263050259
6,262649543,263336839
6,262550029,263244622
8,262315803,263010262
9,267771773,268516723
10,268838136,269530393
12,271908847,272610528
13,269681814,270401576
16,270872997,271611208
18,284425059,285124024
21,283534018,284221958
24,282511013,283208089
27,289312331,290063612
32,293578318,294271909
36,299232193,299922813
42,304769481,305462745
48,305916602,306605856
55,309198089,309888973
64,317352903,318068982
73,324569763,325287858
84,333607679,334355351
97,347841184,348533678
111,349198800,349917785
128,356364346,357152404
147,375104275,375849116
168,385460704,386222964
194,395640275,396408510
222,403156192,403919919
256,416447834,417207422
294,419067241,419830423
337,417562267,418321239
388,417640090,418395357
445,417978459,418763370
512,424617845,426379649
588,425115681,425888950
675,425448105,426282927
776,424072262,424862598
891,424290914,425054826
1024,424393566,425167120
1176,427578529,428345904
1351,428121616,428893634
1552,426394104,427163735
1782,425293276,426123489
2048,427977479,428748586
2352,426491407,427280031
2702,429468405,430330815
3104,428443473,429302376
3565,428671837,429470339
4096,431272081,433049463
4705,436370485,437224425
5404,444010569,444806292
6208,460388131,461169806
7131,482423933,484235187
8192,507653272,509468291
9410,534056713,534863611
10809,560802365,561679109
12416,589652828,590471669
14263,626919244,627776486
16384,666493743,667328080
18820,725229414,726061702
21618,813857205,815733978
24833,924602404,925443760
28526,1054947416,1055800375
32768,1212075584,1213960132
37640,1658020638,1659907593
43237,1762499646,1763356155
49667,1885482347,1886353030
57052,2114373836,2115276713
65536,2417822763,2418755498
75281,2947231611,2948103982
86475,3208555191,3209426855
