scene count,release_cuda simulation time,release_cuda total time
4,30341878,31064106
4,30320017,31043560
5,30341275,31061540
6,30342711,31091622
6,30366133,31146373
8,30407074,31157391
9,30418063,31194102
10,30423424,31144431
12,30444969,31222139
13,30452058,31176515
16,32388024,33108303
18,33021794,33994826
21,33540557,34539020
24,33361351,34334502
27,33832634,34808280
32,33909693,34881988
36,35542004,36509499
42,36023097,36995200
48,35574794,36568823
55,37058155,38025128
64,36910463,37884860
73,38388005,39361930
84,38273863,39276218
97,40416450,41447140
111,40528409,41494192
128,40830314,41822984
147,43462706,44493956
168,44720694,45689467
194,46507797,47500848
222,47101289,48064691
256,48396631,49388694
294,49894601,50870908
337,48926534,49902618
388,49681230,50716177
445,49507924,50539805
512,49071327,49980708
588,49741487,50773693
675,49390981,50366258
776,49368194,50398833
891,49298909,50270327
1024,50588882,51620443
1176,50998311,51970187
1351,49165521,50195964
1552,51062638,52037433
1782,50287287,51260931
2048,50371796,51348377
2352,50680178,51654146
2702,51096048,52087534
3104,49826140,50803535
3565,49454711,50450108
4096,49867315,50840174
4705,51332523,52309642
5404,51259053,52291127
6208,50161763,51195475
7131,49929935,51126259
8192,51096917,52294051
9410,50327682,51520627
10809,47070717,48979010
12416,45780674,47557651
14263,46271288,48049157
16384,46228008,47003264
18820,46499018,47333093
21618,46768257,47542978
24833,46497904,47325467
28526,47283584,48050951
32768,47252973,48037169
37640,82416567,83190232
43237,84550744,85329176
49667,85778444,87605571
57052,86923742,87696267
65536,88046364,88847782
75281,123404941,124175462
86475,125646097,126393322
