scene count,release_cuda simulation time,release_cuda total time
4,50544173,51301505
4,50498226,51252455
5,50541249,51348282
6,50517455,51270848
6,50533794,51280986
8,50591786,51366135
9,50907736,51658935
10,50936708,51687469
12,50980784,51793047
13,54502386,55473888
16,54908452,55881354
18,58784876,59759693
21,59444682,60419452
24,59738606,60710356
27,60917570,61892264
32,58644450,59618812
36,61828599,62746845
42,60338693,61016994
48,59844665,60582364
55,61679954,62432486
64,62695546,63442629
73,65768838,66517191
84,66835656,67585313
97,71287568,72063752
111,71924180,72673694
128,73245856,73995575
147,76545175,77301186
168,80497485,81244378
194,82518879,83266479
222,83875397,84620147
256,86992063,87768321
294,87249734,87992943
337,86816612,87570016
388,86588200,87327042
445,86895757,87869068
512,88790891,89765753
588,88118200,88926165
675,89060357,89804938
776,89282609,90033108
891,88510734,89263675
1024,88307535,89056802
1176,88200774,88953674
1351,88576719,89287835
1552,89790490,90533056
1782,88726369,89473033
2048,88858453,89832210
2352,88428648,89221299
2702,88791076,89615595
3104,88961431,89756204
3565,88947823,89744393
4096,89346235,90167363
4705,88906536,90709563
5404,89489326,90272636
6208,89304140,90093847
7131,89432286,90279717
8192,89215397,90008650
9410,90052221,91800560
10809,89376761,90158239
12416,89991024,91792712
14263,89712059,90540409
16384,90378968,91212806
18820,91734578,92555017
21618,93562705,94396734
24833,95177338,95980234
28526,98054031,98856573
32768,107521287,108332783
37640,180443138,181242079
43237,185201388,186067010
49667,188723128,190562844
57052,192279508,193133517
65536,208156649,209003830
75281,279287752,280107939
86475,286886855,288757812
