scene count,release_cuda simulation time,release_cuda total time
4,263924462,264702719
4,263542852,264291365
5,266124861,266876700
6,265296237,266049133
6,265314850,266063850
8,266308740,267061398
9,270983816,271728796
10,272378898,273153920
12,275675683,276427135
13,286656401,287400261
16,286939696,287688253
18,296043713,296794230
21,306254889,307031317
24,303202697,303953400
27,312818804,313566616
32,324668217,325414186
36,335432745,336237221
42,338543795,339322709
48,341760264,342557905
55,436964690,437776142
64,546084926,546836911
73,583364017,584112781
84,677742678,678496447
97,753097167,753848844
111,764388317,765142174
128,784497302,785291508
147,813144768,814001474
168,914550617,915338993
194,956264693,957054976
222,984957893,985759800
256,1020934916,1021731045
294,1026221886,1027071413
337,1027360317,1029158113
388,1027391757,1028195639
445,1026344061,1027151217
512,1116693333,1117492050
588,1120469174,1121338688
675,1121286383,1123154053
776,1119231579,1120032885
891,1121918400,1122715711
1024,1119158299,1120966709
1176,1127098810,1127899533
1351,1123705026,1125500739
1552,1121430158,1122301336
1782,1122762767,1123595539
2048,1121335679,1123138254
2352,1134077872,1135929777
2702,1126690664,1128539977
3104,1131290882,1133137398
3565,1138715692,1140561725
4096,1164153492,1164977601
4705,1182800744,1183628214
5404,1225497167,1226297008
6208,1262266226,1263102277
7131,1285770956,1286660673
8192,1310740511,1311575301
9410,1346318950,1348197724
10809,1381195370,1382033426
12416,1436241508,1437090654
14263,1504538128,1505385885
16384,1626905621,1627766709
18820,1889144234,1891014167
21618,2131633472,2132497650
24833,2655540030,2656397867
28526,3659341534,3660203785
32768,5071509454,5073390255
37640,6969328065,6970262904
43237,7135646217,7137535990
49667,7152613678,7154534261
57052,7854898455,7856785259
65536,10322901571,10323770785
75281,12317892123,12318723879
86475,13218034592,13218914544
