scene count,release_cuda simulation time,release_cuda total time
4,523703281,524452770
4,524137893,524898664
5,522572808,523320663
6,523709295,524513770
6,523553402,524299552
8,524028923,524834305
9,529956467,530725002
10,528847315,529652691
12,532574971,533323358
13,531197926,531948331
16,539425569,540166319
18,549592352,550398105
21,559217473,559970460
24,562064340,562837941
27,568220582,568977424
32,574488291,575236011
36,598329062,599070103
42,603502172,604252446
48,602877758,603622501
55,607792856,608543428
64,626310011,627055123
73,647336307,648086310
84,665040718,665781761
97,686751785,687502010
111,697733030,698463087
128,714961559,715751792
147,756323714,757116089
168,776148103,776951423
194,802470211,803270361
222,822530675,823327942
256,850471636,851270301
294,854880558,856741089
337,854770369,855566534
388,853384688,854211242
445,853474005,854276353
512,867212648,869020061
588,869418365,870238808
675,866739874,868543952
776,865728603,866586907
891,866627420,867420223
1024,867229205,869038121
1176,869741498,870539810
1351,869796191,870606892
1552,869948486,870778571
1782,872106825,872917714
2048,876339042,877152832
2352,894942776,895776979
2702,899073607,899899613
3104,929998384,931839711
3565,960986683,961866963
4096,993016268,993846135
4705,1017106498,1018944741
5404,1035111327,1035936319
6208,1047807788,1049688790
7131,1058234902,1059060592
8192,1075340058,1077243793
9410,1101034962,1102884596
10809,1133179481,1134020825
12416,1180456740,1181307982
14263,1238404499,1240278697
16384,1307726339,1308566298
18820,1410876896,1411721988
21618,1566039703,1566916628
24833,1779459410,1780320012
28526,2032675279,2033537784
32768,2348400131,2349268683
37640,3352395412,3353255020
43237,3479825878,3480621857
49667,3671757920,3673650703
57052,4067958045,4068832455
65536,4679418971,4680289446
75281,5790073089,5790954710
86475,6190964107,6192860040
