scene count,release_cuda simulation time,release_cuda total time
4,45152643,45935636
4,45221711,45973032
5,45197421,45924149
6,45204769,45929384
6,45199474,45923111
8,45238472,45966981
9,45675820,46402321
10,45530189,46252584
12,45643072,46360798
13,45592162,46318974
16,49955959,50928184
18,52702687,53663350
21,53306291,54277128
24,53596499,54575749
27,54752791,55723283
32,55166265,56161949
36,57894404,58860390
42,57399851,58429470
48,57808628,58778427
55,59199593,60197237
64,60586058,61615232
73,64271442,65303710
84,61410563,62197947
97,65098775,65840511
111,65715955,66448275
128,66722277,67470434
147,70765228,71544757
168,73674494,74446479
194,76806999,77590183
222,77636603,78348422
256,80656051,81382705
294,79868351,80593110
337,80809276,81783464
388,80556674,81521245
445,79974269,80700484
512,80989711,81714392
588,82566360,83310134
675,82278573,83006541
776,82360609,83333606
891,82444849,83396849
1024,82527873,83251609
1176,81478024,82228506
1351,82017667,82742687
1552,82557850,83553996
1782,82604506,83604382
2048,81801334,82523876
2352,81298604,82064222
2702,82346378,83121335
3104,82251215,83020330
3565,82278536,83048413
4096,82696324,84459933
4705,81877215,82669130
5404,82701527,83473972
6208,82214550,82980514
7131,82634019,83405605
8192,82762468,83523190
9410,83189766,83966497
10809,82803514,84577457
12416,82642737,83478137
14263,83490962,85326948
16384,83572387,84343646
18820,84707516,85475665
21618,87442657,88218393
24833,87388985,89167068
28526,90145089,90920564
32768,96053018,97822445
37640,165314956,167092353
43237,167108939,168883560
49667,171720481,172522259
57052,175244767,177061206
65536,189175102,189982515
75281,254188454,256006489
86475,265242152,266044058
