scene count,release_cuda simulation time,release_cuda total time
4,264558191,265326030
4,265038197,265787138
5,266662560,267414010
6,267144021,267888543
6,266209524,266960049
8,268346583,269115532
9,275322395,276094768
10,276370727,277124995
12,277809414,278585639
13,277443022,278193657
16,281301575,282039543
18,293954563,294705214
21,295913513,296659577
24,295312632,296065144
27,296741013,297479745
32,299699005,300453731
36,312255951,313004901
42,311551125,312294932
48,310056533,310805977
55,319457155,320209545
64,322607348,323353051
73,331950564,332701331
84,339975544,340775160
97,351365989,352116907
111,353196355,354005532
128,364277357,365070826
147,385547413,386380639
168,396106096,396907347
194,407695260,408489465
222,416197989,416999385
256,428776370,429579102
294,428975231,429787137
337,429255023,430055026
388,428091484,428891053
445,428076373,428851462
512,433739688,434506616
588,435451224,436251377
675,435034176,435847245
776,435932696,437716587
891,436343921,438128136
1024,435993125,437770746
1176,437253605,438020865
1351,437487207,438273877
1552,437077476,437861480
1782,435884067,436667180
2048,437153743,437963078
2352,437128265,437945627
2702,437262534,439074137
3104,437427497,438254136
3565,439020098,440866808
4096,442121614,442918613
4705,447521217,448327242
5404,455670300,456477962
6208,465024897,466838935
7131,484615600,485475568
8192,508807781,509613731
9410,545962913,546820454
10809,572375472,573254759
12416,601543171,602395821
14263,631247480,632068293
16384,668824693,669677217
18820,719102113,720982934
21618,773671620,774539627
24833,851869266,852727948
28526,956360315,957212045
32768,1090463746,1092345150
37640,1507607321,1508473769
43237,1637060544,1637963127
49667,1755772514,1756640704
57052,1915194965,1916085634
65536,2171306693,2173198523
75281,2683496786,2684366765
86475,2910323229,2911197768
