scene count,release_cuda simulation time,release_cuda total time
4,262034279,262817055
4,263418523,264174173
5,263187079,264002475
6,264297885,265056984
6,263289080,264103447
8,265012428,265771365
9,270375080,271178683
10,270274874,271032575
12,273481294,274235396
13,272228274,272997485
16,272765175,273579366
18,286564828,287319399
21,286296324,287050793
24,291874127,292657857
27,291976262,292782047
32,296371913,297174340
36,303717492,304472151
42,312035303,312815177
48,307514093,308261467
55,315991245,316745287
64,322240365,323008577
73,329935067,330606840
84,339670794,340421562
97,355202715,355956506
111,355025430,355773682
128,363570829,364365821
147,382891715,383690901
168,395634898,396493227
194,406026094,406822488
222,413743360,414538016
256,429721998,430516885
294,431642261,432501111
337,432928921,434780655
388,431597829,432395856
445,431268395,432123449
512,437104108,437904871
588,439549961,440355095
675,438289893,440095686
776,439759434,441561785
891,438077314,438873585
1024,438197047,439059847
1176,441497326,442299243
1351,441082009,441896618
1552,439489914,440326775
1782,440984840,441821110
2048,440556781,442388730
2352,440536733,442398152
2702,441631117,442461002
3104,441529274,442355959
3565,441810639,442666191
4096,444535914,445362302
4705,449592116,450424517
5404,457708617,458535947
6208,472280997,473108775
7131,492668822,493510135
8192,518722608,519552587
9410,543322537,545175300
10809,569930019,570767724
12416,598827203,599734120
14263,635398487,637265990
16384,674955416,676829466
18820,734952861,735820532
21618,820052152,820914209
24833,932762455,933601720
28526,1061137114,1062003246
32768,1220671662,1221560887
37640,1674235038,1676154655
43237,1784898508,1785775267
49667,1902853688,1903727797
57052,2126353753,2127222020
65536,2430107221,2430983484
75281,2975270329,2976182712
86475,3224876038,3226789760
