scene count,release_cuda simulation time,release_cuda total time
4,312974479,313723502
4,313333556,314143640
5,314222908,314999926
6,314929507,315685672
6,314831272,315582566
8,315507175,316274582
9,320164095,320919253
10,320751492,321562729
12,322425920,323180190
13,322583145,323392440
16,323437109,324190622
18,337066461,337879509
21,343417655,344169753
24,342342089,343101825
27,347863460,348622461
32,355667124,356417589
36,362761809,363513944
42,364749130,365522834
48,363349314,364097381
55,372781827,373524285
64,376167235,376909270
73,392587328,393334377
84,397525917,398272936
97,414025083,414778965
111,418315052,419061990
128,429748424,430544304
147,454427800,455250441
168,468247089,469047464
194,483545574,484338686
222,493345257,494146451
256,510557282,511347460
294,511966547,512752923
337,511305408,512103527
388,512309951,513107655
445,512142965,513951507
512,520041420,520863579
588,520052216,520857059
675,521414268,522220904
776,521610819,522411173
891,521111762,521938502
1024,522757037,523594658
1176,523447104,524246857
1351,524126679,524933968
1552,522680320,523489533
1782,521311339,522118283
2048,523531989,524343770
2352,524012031,524864354
2702,524577486,525417348
3104,523609348,524437701
3565,527440919,528286230
4096,537259042,538085982
4705,548182134,549013610
5404,571814771,572639447
6208,589981618,590807420
7131,620333073,621162263
8192,640018601,640863016
9410,661067049,661917536
10809,683640579,685583285
12416,712632620,713486374
14263,748607774,749457146
16384,795171708,797116605
18820,856241350,858120021
21618,936876109,937729481
24833,1054435746,1056316727
28526,1197915782,1198815560
32768,1375917375,1377806894
37640,1922640188,1924531583
43237,2044599621,2046519756
49667,2182347627,2183243602
57052,2401530818,2402402342
65536,2751112612,2751979515
75281,3381684269,3382559648
86475,3648439623,3649315017
