scene count,release_cuda simulation time,release_cuda total time
4,45178156,45922808
4,45109695,45836906
5,45197455,45920537
6,45199608,45940996
6,45228347,45947174
8,45327561,46109327
9,45379664,46015632
10,45383698,46106290
12,45516523,46240938
13,45636561,46357362
16,49787354,50758877
18,53526682,54523490
21,52967189,53942750
24,53838171,54840679
27,55745287,56715490
32,55228042,56220712
36,57790377,58762590
42,57587426,58562952
48,57805165,58775135
55,59497715,60463104
64,60122839,61114075
73,64057876,65027424
84,62645402,63430448
97,64818909,65561066
111,65073520,65829582
128,67045124,67766917
147,71210877,71929033
168,73719050,74443544
194,76835055,77555288
222,78326256,79051186
256,80131374,80853671
294,80670455,81394838
337,80155112,80876441
388,79993994,80716503
445,79962912,80689210
512,81089909,81832987
588,82462171,83186834
675,82403936,83127988
776,81785747,82510944
891,82446793,83420277
1024,81671160,82448140
1176,81560234,82280621
1351,81520695,82242238
1552,82404591,83091145
1782,82776814,83475583
2048,82342384,83339401
2352,81378120,82144695
2702,82942453,84717443
3104,82211116,83004645
3565,82309331,83109694
4096,81980250,82799296
4705,82457930,83224539
5404,82670635,83447384
6208,82616194,84392623
7131,82267233,83093779
8192,83760656,85536794
9410,82677547,83454029
10809,82725487,83556584
12416,82612706,84391730
14263,83069014,84843331
16384,83478028,85316570
18820,84715890,86488769
21618,86311286,87092813
24833,87567687,88370120
28526,89891871,90681741
32768,96476134,97284310
37640,163713409,164494136
43237,168053610,169828872
49667,172083441,172945863
57052,174684503,175428720
65536,188787225,189581205
75281,253403359,254250743
86475,260023286,261871661
