scene count,release_cuda simulation time,release_cuda total time
4,293601060,294353996
4,294053790,294811113
5,294908237,295681607
6,295922548,296682185
6,295379392,296129550
8,296056354,296812917
9,301401041,302161801
10,301601620,302377045
12,304792375,305545722
13,302829053,303582552
16,305061263,305854752
18,320668555,321480707
21,322589665,323345359
24,321754723,322504526
27,325035736,325837047
32,330323135,331078594
36,341937761,342720955
42,339688219,340439080
48,339728096,340534087
55,349520273,350270730
64,354723921,355528454
73,367914635,368666803
84,373259324,374006951
97,389868763,390624957
111,392864367,393675839
128,400976431,401788581
147,425367627,426183225
168,438149057,439005416
194,449987740,450738620
222,459944788,460747519
256,475894893,476691637
294,477888583,478743951
337,476532311,477329953
388,476876506,478683124
445,476916523,477726838
512,483049058,483845540
588,484523674,486325979
675,486596572,487406326
776,488153651,489959216
891,485932734,487738846
1024,486414147,487220067
1176,488025051,488835115
1351,487852570,488667659
1552,487273961,488089129
1782,487201322,488013409
2048,486395930,488258163
2352,487346486,488174925
2702,489257399,490085447
3104,491268303,493134567
3565,491229506,492052507
4096,496748724,498597381
4705,504852823,506694600
5404,523205837,524039541
6208,539660344,540481895
7131,570786955,571667910
8192,593679664,594566201
9410,616545681,617387328
10809,640815571,642710305
12416,669440361,670273770
14263,704209384,705125649
16384,748598128,749456404
18820,805039805,805887247
21618,879815910,880711288
24833,991141649,991992875
28526,1125364561,1126225801
32768,1291579946,1292447216
37640,1782828671,1783753844
43237,1914137605,1915065905
49667,2052005767,2052876330
57052,2253132233,2254005487
65536,2583274665,2585159542
75281,3166621177,3167500354
86475,3430265925,3431138208
