scene count,release_cuda simulation time,release_cuda total time
4,262144893,262899651
4,262564881,263373568
5,262355759,263168644
6,263552130,264310298
6,263291332,264069289
8,264615890,265368456
9,270364185,271119491
10,270010681,270771448
12,274411531,275160888
13,271467468,272217608
16,273166276,273919035
18,286092508,286844338
21,292151251,292912243
24,289837390,290639932
27,291143868,291900436
32,296889884,297641042
36,301411683,302227645
42,309334587,310082592
48,308824656,309572694
55,317579432,318338019
64,318132734,318887191
73,329943785,330720657
84,332309543,333039399
97,348579864,349335179
111,349329578,350070745
128,358361346,359152548
147,377873218,378718904
168,385884804,386704427
194,398842872,399637059
222,405882119,406740608
256,418619733,419412692
294,419983460,421790392
337,419338800,420140218
388,419883468,420677930
445,419340820,420134691
512,425138541,425936705
588,426421871,427215480
675,428017075,428883863
776,426159956,426980381
891,427438912,428239909
1024,428455614,430308956
1176,426809904,427610507
1351,431397612,433202780
1552,427838771,428643505
1782,427518743,429331638
2048,428911723,429746788
2352,429098310,430944845
2702,428989667,429816945
3104,429780869,430621094
3565,431261737,433108711
4096,434462399,435285164
4705,437766779,438595854
5404,446756975,448593542
6208,462073533,462905540
7131,484505873,485335069
8192,508968871,509794845
9410,535230213,536057939
10809,561494070,562395186
12416,589948356,591819210
14263,626931021,627777725
16384,666834326,668699018
18820,726024741,726879468
21618,814485639,816431166
24833,925228625,926097330
28526,1055192831,1056085458
32768,1212218974,1214110501
37640,1660611679,1661480166
43237,1763032361,1763915879
49667,1885913639,1887829385
57052,2114373283,2115248415
65536,2417250438,2419137774
75281,2948196475,2950148946
86475,3209597761,3210503646
