scene count,release_cuda simulation time,release_cuda total time
4,30324473,31076993
4,30341336,31147915
5,30362343,31137565
6,30344324,31095914
6,30376403,31124282
8,30396879,31203195
9,30414474,31163879
10,30418925,31167824
12,30454179,31261526
13,30460302,31203702
16,32150933,33122809
18,32693655,33665604
21,32815624,33809318
24,32923143,33953444
27,33709379,34674438
32,33743021,34715843
36,34727306,35699605
42,36215118,37213423
48,35633819,36662701
55,37637034,38610011
64,37564628,38533832
73,38371913,39342165
84,39348136,40338326
97,40404934,41378925
111,40586715,41559690
128,41844438,42816088
147,44379913,45410900
168,45515880,46484415
194,46138108,47109258
222,46934227,47905239
256,48333884,49299378
294,48930402,49904487
337,50124637,51154541
388,49613510,50585950
445,50309065,51280675
512,49040273,50042163
588,51581573,52547809
675,50618476,51590536
776,49375510,50349977
891,49367002,50324301
1024,49558935,50532921
1176,50966864,51939562
1351,49256104,50228305
1552,50439065,51438930
1782,50423996,51422291
2048,50693573,51725857
2352,51556199,52524582
2702,49808930,50783171
3104,50574074,51549332
3565,49821319,50850843
4096,49886256,50882115
4705,49613201,50615164
5404,50757418,51762197
6208,51434078,52404956
7131,50134887,52215144
8192,50661184,51772946
9410,49631694,50746477
10809,49422639,51442802
12416,49913310,51935643
14263,46511783,47341692
16384,45859031,46632657
18820,46673772,47446646
21618,46955587,47729718
24833,47410745,48204880
28526,47600814,48369289
32768,48028879,48807021
37640,82784027,83552114
43237,84108855,84896222
49667,85779568,87555847
57052,86399544,87170744
65536,90068046,90851521
75281,123430494,124209976
86475,126155476,126932898
