scene count,release_cuda simulation time,release_cuda total time
4,261280452,262059439
4,262228652,262981707
5,263772733,264516959
6,262880432,263617744
6,263370520,264143587
8,264335223,265069212
9,268994411,269743368
10,269828760,270584497
12,272700375,273451110
13,271079819,271886673
16,270829764,271636396
18,288344000,289149196
21,286187633,286993852
24,290415937,291162350
27,291198459,291962518
32,292857415,293615636
36,301883377,302634619
42,310093086,310195611
48,305913056,306685462
55,313252582,314004202
64,320572765,321324194
73,331836689,332581111
84,334722163,335523831
97,350142345,350957236
111,351802000,352610755
128,356962601,357764158
147,377124068,377890726
168,387788818,388554470
194,398091115,398860529
222,406804378,407574454
256,419049881,419821728
294,419540005,420369566
337,419018131,419791602
388,421649960,422435404
445,421105843,422885430
512,425209089,425993116
588,426769627,427579720
675,428235560,429017154
776,428565263,430346264
891,427569447,428401689
1024,427487801,429324684
1176,430872077,432640801
1351,429897733,430677328
1552,427248469,428032457
1782,426933241,428770244
2048,428493806,430270582
2352,429997982,430796840
2702,428760868,429563154
3104,429430432,430235153
3565,430296766,431092929
4096,432731611,433541390
4705,439754435,440561900
5404,447615228,448421796
6208,462822274,464642664
7131,485661280,487542801
8192,508174990,508976899
9410,534687967,535516376
10809,560746942,561572231
12416,590103845,590993246
14263,627216596,628068220
16384,666697439,667528287
18820,726299937,727161243
21618,813891335,814754446
24833,924762026,925630428
28526,1054869032,1055727268
32768,1212371537,1214279780
37640,1658894765,1659760840
43237,1763118700,1763988298
49667,1884385501,1885259089
57052,2114411768,2115286949
65536,2417938647,2418802625
75281,2949517479,2950392030
86475,3209376332,3211290951
