scene count,release_cuda simulation time,release_cuda total time
4,293560149,294311961
4,293606782,294354635
5,294162491,294969776
6,294958447,295724091
6,294621652,295372565
8,296875609,297630092
9,299639655,300446041
10,300619948,301372285
12,303832501,304586336
13,302178723,302954487
16,304693556,305499898
18,319867048,320680022
21,321202130,321949185
24,320393714,321147959
27,324173812,324921606
32,332405633,333212744
36,341526510,342276961
42,345369344,346072439
48,339788121,340554320
55,352052628,352823534
64,353610500,354381326
73,364495262,365273063
84,373448809,374195277
97,388781387,389533255
111,391140518,391891146
128,401801055,402548732
147,425955216,426755550
168,437874841,438674142
194,449898705,450693729
222,459478788,460270655
256,475323904,476119077
294,478602188,479410847
337,475785075,476580069
388,476856151,477653061
445,477394055,478207609
512,483467302,484250664
588,486127981,486932562
675,487439250,489265651
776,488423145,490226713
891,485089135,485910025
1024,485708001,486511228
1176,487496080,489302417
1351,488593943,489404389
1552,487197617,488005035
1782,486341401,488144465
2048,487114773,488920986
2352,488013982,488841107
2702,488412737,489271630
3104,488509335,489337736
3565,491030952,491859333
4096,496151300,496980255
4705,505137900,505968009
5404,523038968,523873254
6208,539429883,540265526
7131,569879296,571725336
8192,593125156,593957479
9410,616784862,617630294
10809,641476375,642309226
12416,668755876,669609965
14263,704093863,705008311
16384,748346199,749197001
18820,804909481,805792728
21618,879860376,880721432
24833,990684207,992558755
28526,1124778944,1125636263
32768,1292050344,1292904087
37640,1781602131,1782517021
43237,1908242070,1909104701
49667,2043095832,2043962498
57052,2253492632,2254361095
65536,2580604182,2581495473
75281,3164684479,3166587032
86475,3429876955,3430756250
