scene count,release_cuda simulation time,release_cuda total time
4,305307291,306061587
4,303695007,304443360
5,305150235,305917596
6,305006153,305786662
6,305433807,306182593
8,306162154,306913946
9,310734879,311486662
10,312748139,313555741
12,313331645,314083549
13,312984870,313736190
16,315237892,315985358
18,329663474,330419969
21,333441477,334169660
24,332211975,332965387
27,336583787,337333472
32,340023342,340780790
36,349869257,350624007
42,352701465,353455936
48,354344911,355097521
55,358619006,359371916
64,368032438,368780945
73,379363525,380113690
84,385468149,386219532
97,401003972,401753834
111,403864678,404616340
128,415050921,415842827
147,438944127,439744298
168,450062339,450855642
194,462827643,463645019
222,473857579,474651484
256,487918329,488713858
294,489421478,490219539
337,489396315,490220114
388,489337481,490145940
445,489474442,490297399
512,496984134,497840852
588,497910981,498712413
675,497738817,499543539
776,499318706,500118852
891,500662932,501460177
1024,499092528,499907220
1176,501104300,501924116
1351,501390172,502196666
1552,500550318,501416559
1782,498984763,499733171
2048,501656786,502461057
2352,500000735,500828414
2702,499490601,501341955
3104,501929058,502788194
3565,502511346,503336031
4096,509264226,510096236
4705,518777707,520623206
5404,537192273,538078003
6208,558629598,560476972
7131,585019773,585846611
8192,609247624,610075594
9410,631444152,632276237
10809,655078540,655975771
12416,683088522,683939647
14263,717822212,719687440
16384,760387290,762268287
18820,817854807,818750760
21618,888808836,889670692
24833,996885695,997739138
28526,1128521130,1129384755
32768,1291241860,1292103070
37640,1795897398,1796762152
43237,1923479388,1924346136
49667,2054429214,2056306374
57052,2268372195,2270247071
65536,2587060342,2587936688
75281,3184053287,3184927783
86475,3443205737,3444148729
