scene count,release_cuda simulation time,release_cuda total time
4,261924261,262673513
4,261815516,262594358
5,263474078,264247038
6,262300839,263048598
6,263329463,264079594
8,264400618,265151570
9,269457186,270204280
10,270512200,271266424
12,274153449,274909283
13,271756770,272505342
16,270739374,271486195
18,284849422,285593879
21,291531113,292279155
24,290497178,291250097
27,290865118,291617789
32,293265753,294070700
36,303006636,303756136
42,309191364,309942929
48,314360329,315105697
55,313105963,313857099
64,315894443,316642938
73,330657703,331409207
84,335471773,336276282
97,347945084,348693910
111,350451975,351202197
128,357451586,358245438
147,377733285,378506471
168,388889405,389660819
194,397758243,398556349
222,405527755,406324720
256,418766378,419587671
294,420067899,420890060
337,419867888,420694034
388,420384258,421186515
445,420532815,422337350
512,425332680,426067361
588,427976858,428771765
675,428666317,429480323
776,427977164,429780648
891,427812975,428612726
1024,427992819,428796699
1176,430564151,431359258
1351,430407811,431219359
1552,429972754,430766467
1782,427274316,428136921
2048,429288187,430098623
2352,429087941,429929151
2702,429404830,430234925
3104,431593370,432481030
3565,431405433,432236802
4096,434109119,434934772
4705,439143311,439973262
5404,446065622,446897758
6208,464173151,466022617
7131,485412314,487316452
8192,509338026,510164633
9410,534779367,535614822
10809,561779649,562616421
12416,590062492,590924203
14263,627177988,628028237
16384,667224600,668105680
18820,725780416,726661750
21618,812868745,813723545
24833,925148381,927029072
28526,1055047113,1055931602
32768,1212783742,1213652276
37640,1659104092,1659997606
43237,1763121498,1763991094
49667,1885740697,1887626137
57052,2109126228,2109992759
65536,2416294702,2417161132
75281,2947133944,2948007883
86475,3209145432,3211027963
