scene count,release_cuda simulation time,release_cuda total time
4,294322569,295070594
4,293706442,294490710
5,294985442,295713577
6,295522516,296336083
6,295345236,296158767
8,296381179,297134332
9,301628687,302386972
10,301571913,302326116
12,304721335,305477222
13,303271145,304046448
16,305553420,306312700
18,319470040,320227797
21,322906525,323686018
24,321853970,322609721
27,326145506,326895131
32,327692651,328441314
36,343104065,343854551
42,339412981,340164627
48,342506308,343255298
55,349638012,350388191
64,353189381,353993057
73,366022719,366827893
84,375655783,376407984
97,389808152,390554631
111,391656016,392464131
128,402924949,403719563
147,424881879,425678160
168,436936221,437789159
194,451429282,452224085
222,459343551,460134373
256,475945617,476798981
294,477462583,479312342
337,476924889,477719480
388,476836756,477633009
445,477266145,478062401
512,483684071,485514543
588,486580344,487382420
675,486830075,488692808
776,485434907,486230146
891,485777226,486596665
1024,485704317,486509634
1176,488123790,488921342
1351,487441094,488269631
1552,487452837,488286346
1782,487343115,488151112
2048,488126214,488954694
2352,487339661,489191634
2702,488958121,489804501
3104,488394039,489225179
3565,491624342,492509682
4096,497197047,498026601
4705,506055406,506940793
5404,522830167,523651783
6208,539543204,540374046
7131,570821644,571710297
8192,593363471,594191522
9410,616623654,617454509
10809,641188313,642058227
12416,669359338,670214363
14263,703891957,704728525
16384,747939180,748790910
18820,806155327,807010119
21618,880468806,881355977
24833,991060705,991921768
28526,1124634005,1125554551
32768,1292086318,1292947454
37640,1783978849,1784847858
43237,1904182825,1905049555
49667,2050584766,2051451714
57052,2257451360,2258390773
65536,2581345975,2583245979
75281,3164946022,3165827232
86475,3433416680,3434319317
