scene count,release_cuda simulation time,release_cuda total time
4,313213948,313965483
4,313221957,313976407
5,314441679,315254541
6,314421804,315177070
6,315764704,316578502
8,315979095,316751861
9,320274741,321032823
10,320230652,320987828
12,322315148,323071479
13,322695298,323452398
16,324898541,325654870
18,340248575,340995485
21,341708876,342464767
24,343078552,343858886
27,347181736,347937827
32,349693870,350507922
36,361370229,362126476
42,364065344,364878237
48,363813539,364569468
55,373515646,374289885
64,375607151,376411793
73,390929573,391679148
84,397786991,398536429
97,415247654,416023270
111,418220599,418971942
128,430094803,430947535
147,453463639,454193124
168,468579694,469375864
194,483307677,484105001
222,493448828,494246977
256,510522969,511343272
294,512948787,513738709
337,512285658,514088888
388,510947120,511744668
445,512999359,513806654
512,519656116,520456116
588,521201218,522004805
675,521930658,523736513
776,520830024,521626422
891,521493191,523295896
1024,522025768,522844738
1176,522496158,523299407
1351,523515941,524349960
1552,521174781,521984138
1782,521298944,522109283
2048,522835549,524664986
2352,522871224,523699546
2702,524306820,525136218
3104,525630071,527537650
3565,527371192,528200252
4096,536571808,537423375
4705,548338160,549147898
5404,568259064,569080341
6208,590820411,591653265
7131,619383321,620212916
8192,640745978,642616390
9410,660392628,661232460
10809,683873904,684713370
12416,712376012,714243751
14263,748663298,749570464
16384,795784055,796691116
18820,856753263,857649541
21618,937394777,938262561
24833,1054906410,1055772125
28526,1197710524,1198638713
32768,1378403652,1380293785
37640,1912044987,1913925168
43237,2041885843,2042752838
49667,2186635068,2188559999
57052,2401876096,2403769136
65536,2756445151,2757312508
75281,3380172624,3381050154
86475,3650781734,3652679105
