scene count,release_cuda simulation time,release_cuda total time
4,262608931,263327044
4,262404202,263154616
5,263131709,263885802
6,263069503,263853419
6,263043122,263795854
8,264610389,265368873
9,269626042,270408735
10,270235583,270995048
12,273496465,274308176
13,271064768,271815170
16,272391395,273176454
18,284058903,284813262
21,286713742,287466874
24,286934335,287691855
27,292305999,293059206
32,298464144,299215115
36,304118342,304898527
42,312180902,312937183
48,313312014,314067929
55,316788529,317568906
64,319084960,319842059
73,329292959,330040168
84,337788819,338539732
97,351553282,352303467
111,356034052,356784373
128,364243564,365100215
147,382858765,383656772
168,395664458,396517522
194,406686759,407549459
222,415343702,416137916
256,429771015,430557662
294,432262152,433057719
337,431949679,433757772
388,432998020,433796259
445,432582460,433409618
512,437501471,438326444
588,439417272,440237136
675,439596917,440408570
776,438834120,439629038
891,438901614,439699629
1024,438324562,439130930
1176,440299162,441092572
1351,440896402,442703864
1552,439393809,440212197
1782,440484274,441300984
2048,440372070,441177325
2352,442613156,443441683
2702,441039284,442891295
3104,440645283,441524352
3565,442518968,443349856
4096,445039001,445879491
4705,450603383,451453892
5404,457544639,458425971
6208,472667481,474574301
7131,493717679,494607786
8192,517943230,518766913
9410,542673974,543538742
10809,570118976,571975630
12416,598548387,600414284
14263,635674204,637545214
16384,675519001,676435805
18820,734905340,735791870
21618,819783508,821665979
24833,931849719,932753157
28526,1061637719,1062499159
32768,1221807739,1223713498
37640,1680979243,1681909308
43237,1784925389,1785854183
49667,1903230386,1905122009
57052,2125435201,2126311275
65536,2437382685,2438260750
75281,2973513121,2974385244
86475,3229407077,3230318932
