scene count,release_cuda simulation time,release_cuda total time
4,523407409,524162308
4,523223162,523974388
5,523927962,524682472
6,525265036,526033548
6,524565422,525318567
8,527164470,527967035
9,531397779,532152610
10,529601365,530351968
12,533796776,534554897
13,533140975,533901139
16,534027280,534783162
18,552042511,552801958
21,562035977,562816097
24,566278900,567033492
27,569069043,569822951
32,576818758,577574748
36,596837912,597584021
42,603501972,604253112
48,605129800,605918590
55,621599296,622359234
64,625109338,625865456
73,650336632,651094673
84,664138727,664898568
97,689713368,690466037
111,698803865,699558263
128,714107113,714964016
147,755659763,756460050
168,775657497,776448124
194,803303976,804101041
222,819770720,820571081
256,849086289,849878073
294,852337530,853133475
337,853412544,854205301
388,854994169,855790694
445,852884522,853683262
512,866714665,867513885
588,867348677,868157157
675,871704049,873538164
776,866329123,867129418
891,866127346,866982979
1024,866995615,867808188
1176,869686618,870496920
1351,871500647,873303425
1552,870451578,871283733
1782,870255014,871067489
2048,876196847,877011966
2352,895206515,895944037
2702,899491963,901308859
3104,927446137,928335170
3565,961825541,962650539
4096,992815103,993708369
4705,1017891016,1019743382
5404,1036006524,1037887827
6208,1049932368,1050774687
7131,1058635513,1060510424
8192,1074604174,1075437051
9410,1100243558,1101077664
10809,1132880509,1134746085
12416,1180317927,1181179549
14263,1239205085,1241086918
16384,1308875896,1309735871
18820,1410591209,1411516588
21618,1566392475,1567256747
24833,1777827713,1778690354
28526,2033154954,2034013456
32768,2352653811,2353542979
37640,3374011211,3374938976
43237,3493837350,3494706148
49667,3667794385,3668660529
57052,4072268805,4073143372
65536,4682193204,4683079947
75281,5781348421,5783266094
86475,6195168208,6196052192
