scene count,release_cuda simulation time,release_cuda total time
4,242793928,243603870
4,242601298,243360764
5,243240752,244023191
6,243291390,244049474
6,243015601,243821604
8,244095186,244870760
9,249416344,250161448
10,249310098,250071231
12,251960930,252767619
13,250907810,251663706
16,251803191,252577965
18,263121192,263868495
21,265184520,265935415
24,268266163,269041379
27,275632009,276402920
32,274223526,274990097
36,282937842,283748516
42,286791748,287541465
48,286026169,286766436
55,290318816,291065876
64,294343173,295087776
73,303878381,304630120
84,312682958,313478110
97,323822935,324570056
111,326894522,327700686
128,334815735,335638897
147,354153084,354949856
168,362930915,363674716
194,374461165,375253298
222,382445195,383266309
256,395089689,395884594
294,398235203,400031469
337,395912116,396736534
388,396023225,396856329
445,396455488,397306536
512,402175396,402996031
588,404943439,405750875
675,403854720,405661947
776,403725094,404522540
891,403248665,404042944
1024,403428695,404229291
1176,406149211,406942728
1351,405803736,406607750
1552,404511170,405322137
1782,405599326,406410777
2048,405444970,406251540
2352,406269693,408113104
2702,405582153,407420342
3104,407815466,409662756
3565,408358834,409180228
4096,410462278,411363050
4705,415381932,416206400
5404,422555313,423384035
6208,439920546,441824867
7131,463681091,465548712
8192,485326502,486160571
9410,509696248,510572364
10809,534561983,536425535
12416,563204574,565071663
14263,599312916,600160880
16384,637829537,638731485
18820,696287401,697141112
21618,782740781,784611968
24833,889259271,891136768
28526,1014856597,1015714276
32768,1168408140,1170279640
37640,1593687007,1594551024
43237,1694725959,1696627858
49667,1812803103,1813677061
57052,2032302248,2033186229
65536,2326287796,2327154231
75281,2837188377,2839088847
86475,3092031290,3093931025
