scene count,release_cuda simulation time,release_cuda total time
4,241722557,242474541
4,243256912,244012820
5,243377866,244134574
6,243157863,243913264
6,242767734,243574070
8,243662820,244413063
9,249295330,250057681
10,250351818,251128760
12,252145471,252887065
13,249815585,250621211
16,251340847,252082971
18,262340972,263096213
21,264683523,265464523
24,269862644,270607831
27,271089600,271865094
32,270882716,271634209
36,281520893,282244323
42,285399416,286209394
48,288631897,289351251
55,292635362,293380705
64,298755155,299536693
73,309399393,310179200
84,315622710,316372584
97,325150353,325933583
111,327894194,328634368
128,335537511,336365530
147,353384856,354178143
168,364292801,365149986
194,375080608,375876451
222,382466536,383261959
256,394391753,395212518
294,395802048,396599136
337,396312439,397170970
388,396466343,397324496
445,396269131,397066674
512,402031968,403836223
588,404729075,405556248
675,403136665,404996279
776,402577029,403377757
891,403142836,403962099
1024,404951268,405759267
1176,405699860,406496999
1351,405960785,406794252
1552,404811412,405608289
1782,405334214,406150788
2048,406698092,408504615
2352,406278902,408149913
2702,404863647,405692232
3104,407988358,409799993
3565,407331351,408156308
4096,409378654,411226746
4705,414092463,415941248
5404,423228096,424057500
6208,439018508,439844781
7131,460373321,461238622
8192,484715903,486564600
9410,509922115,510752058
10809,534930645,535786747
12416,563255134,564135372
14263,599131580,599986299
16384,638417811,639250075
18820,696284575,697136737
21618,781907431,782762194
24833,888968121,889821399
28526,1014521360,1015389214
32768,1167867358,1168677533
37640,1594039287,1594940097
43237,1694560790,1695417325
49667,1812370146,1813246990
57052,2035842446,2036732154
65536,2328532089,2329416385
75281,2831843404,2832725248
86475,3092523110,3093405945
