scene count,release_cuda simulation time,release_cuda total time
4,30343756,31070451
4,30351330,31074309
5,30352115,31074536
6,30338282,31115314
6,30353133,31053404
8,30360040,31076531
9,30421543,31200950
10,30429892,31154053
12,30433072,31213999
13,30456036,31179160
16,32296017,33324593
18,32777091,33746548
21,33194423,34193011
24,33768627,34772990
27,33686223,34674849
32,33932715,34906725
36,36376239,37350464
42,36048194,37079124
48,35492945,36525704
55,37330651,38297675
64,38066397,39039832
73,38355534,39320566
84,38686074,39718282
97,39915587,40891351
111,40531684,41506025
128,40919818,41891092
147,44322302,45297698
168,44756495,45787836
194,46134118,47163180
222,47575586,48546050
256,48138268,49109882
294,49725896,50725413
337,48942309,49977487
388,49626441,50662871
445,48637601,49611633
512,49087905,50060167
588,49287820,50262675
675,51325911,52295259
776,49249820,50224692
891,49452295,50427900
1024,49571813,50544661
1176,49796099,50769558
1351,49157469,50159807
1552,49497431,50508171
1782,49802054,50777873
2048,49134505,50140642
2352,51198919,52166041
2702,51731386,52705610
3104,49768670,50737950
3565,49804965,50777304
4096,50834664,51833583
4705,51354891,52352994
5404,50129539,51102991
6208,49781052,50734454
7131,49523314,50640874
8192,48516637,49565021
9410,48216874,49188520
10809,46804295,47628099
12416,46758881,47636397
14263,46942726,47778270
16384,46507545,47337878
18820,46684289,48499556
21618,47238316,48000758
24833,46622468,47451399
28526,47281220,48077294
32768,47527578,48360881
37640,82866200,83636813
43237,84116525,85890709
49667,87148887,88927114
57052,86361678,88157275
65536,89109183,90883256
75281,123171169,123938257
86475,125909377,126693226
