scene count,release_cuda simulation time,release_cuda total time
4,50595429,51347319
4,50598839,51348524
5,50654509,51402368
6,50668213,51413814
6,50705715,51448208
8,50704870,51454416
9,50897127,51649095
10,51017483,51767639
12,50969914,51718951
13,55528440,56534412
16,55451734,56481394
18,58867839,59864263
21,57685245,58637217
24,57874971,58846453
27,58755829,59727415
32,58402472,59361182
36,61501350,62468213
42,61803074,62791811
48,62242575,63204426
55,61346889,62094051
64,62668402,63415897
73,66141963,66893405
84,67984606,68734685
97,71100264,71849549
111,71826920,72634618
128,73292188,74040991
147,76869619,77675880
168,80527099,81303715
194,82729556,83539210
222,84266165,85044708
256,86834268,87584178
294,86943244,87918276
337,86481230,87230812
388,86632478,87436773
445,87036383,88019423
512,87689083,88435639
588,89384436,90359558
675,87648138,88398844
776,89264558,90073984
891,88756629,89508715
1024,88129608,88878256
1176,88693998,89664697
1351,89437996,90405010
1552,89622784,90373943
1782,89284301,90260030
2048,88557926,89306817
2352,88490042,89287224
2702,89569890,90373469
3104,88371182,89161447
3565,88909288,89705342
4096,88478733,89270588
4705,89575283,91401610
5404,89305290,90096440
6208,89156933,89955231
7131,88697811,89490508
8192,88416952,89218304
9410,89260537,90063140
10809,89359150,91170248
12416,89471759,91290552
14263,90852001,91711978
16384,89918349,90719297
18820,92203740,93003285
21618,94144321,94949724
24833,95981734,96782193
28526,98451766,99257347
32768,106837368,107697942
37640,180648342,181454392
43237,183680111,185481585
49667,188652521,189480902
57052,193796536,194623752
65536,207728261,208559864
75281,279878170,280708988
86475,287755914,288566541
