scene count,release_cuda simulation time,release_cuda total time
4,50449937,51196747
4,50545123,51294877
5,50583288,51389148
6,50587645,51320073
6,50572651,51318825
8,50621877,51370241
9,50747484,51527004
10,51092323,51841921
12,50825200,51629033
13,54889976,55864792
16,54844852,55842238
18,57895778,58870878
21,57770973,58725792
24,57950627,58926505
27,59944860,60911208
32,59769467,60743427
36,62399835,63373986
42,61672791,62586631
48,59879259,60634159
55,61091631,61842511
64,62174543,62918207
73,66063416,66813330
84,68213140,69021141
97,70689349,71440383
111,71076492,71828164
128,72981994,73733806
147,77890131,78651245
168,80659208,81407675
194,83123055,83878701
222,83594410,84371471
256,87365813,88111730
294,87493304,88466977
337,86967189,87962988
388,86621843,87373003
445,87024676,88057967
512,87719204,88464020
588,89158803,89901875
675,88463924,89214188
776,89222647,90032026
891,89422871,90198082
1024,88355592,89119416
1176,88074900,88878311
1351,89093376,89907188
1552,89273228,90246055
1782,89653637,90421332
2048,88929272,89658435
2352,88043089,88868023
2702,88704376,89561002
3104,88957873,89753275
3565,89903348,90697115
4096,88435013,89284274
4705,88695594,89548038
5404,89130506,89925259
6208,88965521,89787036
7131,89144176,89937619
8192,88561330,89352428
9410,89506957,91311094
10809,89568655,90423980
12416,90059199,90931273
14263,89714122,90576570
16384,89991647,90858960
18820,91872343,93700599
21618,93764722,94575035
24833,94689490,96508939
28526,97987830,98797912
32768,106929218,107731254
37640,182516355,183320718
43237,184920461,185755433
49667,189290734,191130067
57052,192419915,193248649
65536,208183488,209000861
75281,279951976,280828814
86475,287639183,289485919
