scene count,release_cuda simulation time,release_cuda total time
4,372564852,373318159
4,372551770,373366710
5,373243779,373996336
6,373671789,374431486
6,373981455,374741055
8,374826748,375581750
9,377662623,378420638
10,377423748,378186245
12,379470667,380233225
13,380165480,380973625
16,380255652,381015136
18,392113770,392928556
21,398037216,398800661
24,396740993,397485814
27,403051654,403804567
32,404989634,405748619
36,415659665,416411911
42,424447569,425201792
48,425295777,426054386
55,432627074,433382613
64,440146175,440954369
73,451671508,452471713
84,460868341,461658874
97,479602649,480402877
111,481759260,482563392
128,495504586,496299257
147,525415164,526275311
168,540083260,540876208
194,559290914,560067581
222,572277057,573072377
256,593405448,594201014
294,597037040,598838350
337,597358427,598157080
388,598110233,598907853
445,597958056,598757977
512,602645757,603499462
588,604248672,605072525
675,602606779,603404077
776,605473798,606280814
891,608597026,610399926
1024,605412551,607220223
1176,606791812,607619315
1351,605657757,606485000
1552,606980169,608862045
1782,605626051,606510060
2048,608159559,608979469
2352,608947337,610875724
2702,608688367,610599292
3104,616937478,617832254
3565,629380386,630213565
4096,642542244,643376259
4705,664908697,665740167
5404,693894832,695766210
6208,720213469,721120040
7131,736186255,737086497
8192,755488536,756374345
9410,778487201,779360999
10809,808921345,809767435
12416,847271824,849154591
14263,898040378,899918530
16384,952991857,954870483
18820,1037387157,1038252357
21618,1162718253,1163598934
24833,1316149630,1318039966
28526,1501482650,1502404640
32768,1736119651,1736994740
37640,2415158209,2417052990
43237,2532049435,2534001251
49667,2696788709,2697670452
57052,3015282157,3016153982
65536,3462590797,3463479979
75281,4240451515,4241368216
86475,4581455286,4583376395
