scene count,release_cuda simulation time,release_cuda total time
4,263879875,264628042
4,264545630,265358739
5,265476655,266254399
6,265505326,266259824
6,265722082,266478308
8,265388698,266138787
9,271881322,272689146
10,272734333,273482492
12,275605532,276410672
13,286694007,287438118
16,286299847,287052682
18,297570789,298316639
21,301710758,302460038
24,302638771,303337870
27,310497689,311248717
32,321465313,322194374
36,330330033,331077992
42,343398644,344147903
48,338610787,339386981
55,437451283,438195870
64,544589528,545352907
73,586477646,587285321
84,678897407,679701439
97,752933696,753713563
111,766865015,767618665
128,784458901,785274186
147,814234375,815036249
168,912959267,913757443
194,956145619,956968044
222,983557487,984357087
256,1020896119,1021695938
294,1026283969,1027083091
337,1029501955,1031308213
388,1027128020,1027991553
445,1027043698,1028901764
512,1116726064,1117483946
588,1122568530,1124303405
675,1120662741,1121530311
776,1118628134,1119420438
891,1119073034,1119874078
1024,1120042453,1120849377
1176,1127875115,1128674584
1351,1125505299,1126315155
1552,1121755049,1122568734
1782,1122957906,1123794016
2048,1122117487,1123923677
2352,1135936871,1136769724
2702,1128713579,1129532971
3104,1133162129,1134016989
3565,1137771667,1138628639
4096,1161606699,1162427226
4705,1181746096,1182575774
5404,1223805964,1224643669
6208,1262662510,1263494032
7131,1285305814,1287159369
8192,1311559335,1312386205
9410,1348598558,1350478422
10809,1381192289,1382097778
12416,1437452625,1438330316
14263,1505632025,1506482816
16384,1636724562,1638660536
18820,1892120499,1893002322
21618,2131397359,2132272391
24833,2654831874,2655695164
28526,3660485525,3661377366
32768,5070620419,5071481958
37640,6947869198,6948739022
43237,7111445356,7112373032
49667,7211190452,7213085415
57052,7845774873,7846651866
65536,10364626020,10365506616
75281,12340069375,12341976301
86475,12907199719,12908085313
