scene count,release_cuda simulation time,release_cuda total time
4,262614953,263368433
4,261925658,262678888
5,263947094,264703427
6,264307229,265061318
6,263755585,264512066
8,265656401,266415919
9,269389907,270146378
10,270463172,271216840
12,274219946,274979101
13,271520193,272275518
16,272116987,272902561
18,286588826,287348497
21,291862908,292620083
24,292101578,292917063
27,295276090,296034625
32,296576823,297329081
36,309254962,310011398
42,310110530,310870189
48,312825705,313574315
55,314325229,315136140
64,319491403,320299493
73,332417133,333166235
84,337426530,338191691
97,353905617,354653548
111,356623699,357374718
128,363987218,364796792
147,382819739,383615240
168,394334242,395127780
194,405920061,406716363
222,414736055,415530373
256,430387133,431184851
294,433243176,435039036
337,433388827,434186944
388,430902636,431716121
445,432087337,432940741
512,436728921,437549295
588,439450428,440320898
675,438619676,439452343
776,439120566,439974960
891,438927677,440730319
1024,439147756,440978857
1176,441869716,442693345
1351,440552119,442352021
1552,438910696,440774465
1782,439867370,441672117
2048,439480838,441284742
2352,439431871,440241437
2702,442559129,443409938
3104,443015367,444863417
3565,443019033,443903869
4096,445171048,445986673
4705,449450071,450304797
5404,457097276,458945513
6208,471104694,471929550
7131,493425067,494197760
8192,518111797,518944215
9410,543889518,544745062
10809,570197835,571064125
12416,598864473,599716693
14263,635479255,636327304
16384,675869696,676718519
18820,735216231,736065380
21618,820846530,821740232
24833,932603180,933456764
28526,1061085054,1061942138
32768,1222673415,1223562614
37640,1669859217,1670744039
43237,1784669999,1785539885
49667,1902496994,1904383386
57052,2125264272,2126127881
65536,2430181886,2431053906
75281,2971380248,2972254596
86475,3227127210,3228004252
