scene count,release_cuda simulation time,release_cuda total time
4,264526067,265273099
4,264678084,265476949
5,266828366,267638085
6,267254865,268061776
6,267101661,267848430
8,268746353,269543700
9,275577532,276312005
10,276267144,277017750
12,277839385,278587445
13,277323934,278079810
16,281663068,282431511
18,292203177,292930566
21,292038920,292751213
24,293093573,293816970
27,295793229,296542168
32,300645315,301368028
36,310877911,311583460
42,309820482,310600264
48,309589198,310312895
55,318440595,319164326
64,326063092,326811724
73,332367007,333093459
84,339052676,339777728
97,350638366,351359882
111,352561096,353288961
128,364323893,365114766
147,383953978,384723336
168,394039085,394809285
194,406536398,407302991
222,414488177,415255111
256,426992615,427762309
294,427406754,428167843
337,428238641,429006285
388,427217569,427987947
445,428454789,430229249
512,433908152,434678163
588,435067182,436840501
675,435262527,437038893
776,436032778,436803997
891,435426340,436198959
1024,435216265,435998514
1176,437935861,438768480
1351,437096101,437884048
1552,435560272,436341769
1782,436053347,436817603
2048,437979710,439756701
2352,437038117,437872898
2702,437659176,438460972
3104,437476003,438279113
3565,439346977,441165141
4096,441611325,443438769
4705,446475324,447338408
5404,455454985,456271220
6208,463872063,464674009
7131,483662885,484540501
8192,509214038,510017148
9410,546116143,547963071
10809,572330134,574170216
12416,601151833,601965952
14263,630693116,631514592
16384,667845350,668690869
18820,719193439,721042885
21618,773635832,774496723
24833,851795798,852686539
28526,956002669,956860343
32768,1089680451,1090538871
37640,1515569949,1516421506
43237,1636389113,1637241255
49667,1755520873,1756381898
57052,1918573422,1920449297
65536,2170980222,2171852005
75281,2683332234,2684206262
86475,2913019502,2913896923
