scene count,release_cuda simulation time,release_cuda total time
4,263570177,264280762
4,263576266,264323267
5,265311735,266033931
6,266793515,267544040
6,266682927,267406394
8,267820977,268568757
9,274557572,275265923
10,275669586,276397676
12,276919683,277645941
13,276066989,276762260
16,280271040,281016757
18,293283062,294066753
21,291196566,291924759
24,292823333,293548212
27,296162054,296889033
32,300542104,301266523
36,312208409,312933992
42,310369313,311097239
48,311082702,311806148
55,320147546,320875616
64,321865445,322616995
73,329578967,330304412
84,342171003,342897098
97,353437589,354179013
111,352991262,353715993
128,362270080,363046388
147,384325319,385099072
168,394078772,394840174
194,406734620,407567503
222,414677273,415446857
256,427006906,427778366
294,428748827,429521369
337,427417025,428250349
388,428048485,429827666
445,428578146,430360643
512,434572760,435340733
588,435912750,437725202
675,435376705,436159927
776,436258273,437035072
891,435405542,436183106
1024,434946380,435731765
1176,437124967,437962995
1351,438155554,438938509
1552,437070142,437839918
1782,436700756,437491265
2048,437132246,437917788
2352,437698794,438513963
2702,439068313,439870841
3104,436948383,437793982
3565,437796911,438597826
4096,441683139,442512827
4705,447567573,448384901
5404,455749557,456548557
6208,463475932,464271617
7131,484711064,486515607
8192,508636937,509438475
9410,544838123,546660413
10809,572374026,573185214
12416,600929411,601667753
14263,631024451,632865684
16384,668055869,668876122
18820,718043688,718867837
21618,772952057,773790445
24833,851014676,851851094
28526,956882569,957782347
32768,1090140938,1091997022
37640,1514834831,1515706315
43237,1630616790,1631464330
49667,1756135963,1757034825
57052,1910910924,1912804226
65536,2171907611,2173802201
75281,2692385022,2693317849
86475,2912030282,2912907031
