Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.050529846333333336,0.051281857
4,0.050547396,0.051298618666666664
5,0.05059301533333334,0.05137993266666666
6,0.05059110433333334,0.05133491166666666
6,0.050604053333333336,0.05134933966666667
8,0.050639511,0.05139693066666667
9,0.05085078233333334,0.051611678
10,0.05101550466666666,0.05176567633333334
12,0.05092529933333333,0.051713677
13,0.054973600666666664,0.055957697333333334
16,0.055068346,0.05606832866666667
18,0.058516164333333336,0.059498278
21,0.0583003,0.05926082033333334
24,0.058521401333333334,0.059494438
27,0.059872753,0.060843629
32,0.058938796333333335,0.059907807
36,0.061909928,0.06286301466666666
42,0.06127151933333334,0.062131812
48,0.06065549966666666,0.061473649666666665
55,0.061372824666666666,0.062123016
64,0.06251283033333334,0.063258911
73,0.06599140566666667,0.06674130866666667
84,0.06767780066666668,0.06844704633333333
97,0.071025727,0.07178456133333333
111,0.07160919733333333,0.07237882533333333
128,0.073173346,0.07392345733333333
147,0.07710164166666666,0.07787610366666667
168,0.080561264,0.08131858933333333
194,0.08279049666666667,0.08356146333333332
222,0.08391199066666667,0.08467877533333333
256,0.087064048,0.08782140966666667
294,0.08722876066666667,0.08812606533333332
337,0.08675501033333333,0.08758793866666667
388,0.08661417366666667,0.08737893933333332
445,0.08698560533333333,0.08798215266666667
512,0.08806639266666667,0.08888847066666668
588,0.08888714633333333,0.08972919933333333
675,0.08839080633333332,0.08913932333333333
776,0.08925660466666667,0.09004637266666667
891,0.08889674466666667,0.089656824
1024,0.088264245,0.089018158
1176,0.088323224,0.08916556066666667
1351,0.08903603033333334,0.08986667766666667
1552,0.08956216733333333,0.09038435133333333
1782,0.08922143566666667,0.090051465
2048,0.08878188366666667,0.089599154
2352,0.088320593,0.08912551533333332
2702,0.08902178066666667,0.089850022
3104,0.08876349533333333,0.08955697533333333
3565,0.08925348633333333,0.09004895
4096,0.088753327,0.089574075
4705,0.08905913766666668,0.09055307033333333
5404,0.089308374,0.09009811166666667
6208,0.089142198,0.08994537133333333
7131,0.08909142433333332,0.08990261466666667
8192,0.08873122633333333,0.08952646066666667
9410,0.08960657166666668,0.09105826466666667
10809,0.08943485533333333,0.09058415566666667
12416,0.08984066066666667,0.091338179
14263,0.09009272733333333,0.09094298566666667
16384,0.09009632133333333,0.09093035433333332
18820,0.091936887,0.09308630033333333
21618,0.093823916,0.09464049766666667
24833,0.095282854,0.09642378866666668
28526,0.09816454233333333,0.09897061066666667
32768,0.10709595766666667,0.10792065966666667
37640,0.18120261166666665,0.18200572966666664
43237,0.18460065333333334,0.18576800933333334
49667,0.18888879433333333,0.190391271
57052,0.19283198633333334,0.19366863933333334
65536,0.20802279933333334,0.20885485166666665
75281,0.279705966,0.2805485803333333
86475,0.2874273173333333,0.2889367573333333
