Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.372768775,0.3735416676666667
4,0.373088285,0.373882658
5,0.3730193546666667,0.373775953
6,0.3740000346666667,0.3747581543333333
6,0.3739679076666667,0.3747230853333333
8,0.3744233633333333,0.37517964233333334
9,0.3780521486666667,0.37881967866666666
10,0.3778590253333333,0.3786190273333333
12,0.3795214513333333,0.3802819156666667
13,0.37987161233333333,0.38065513866666667
16,0.3810099236666667,0.3817692946666667
18,0.3939267053333333,0.3947044866666667
21,0.396269207,0.3970331616666667
24,0.3975027073333333,0.3982506593333333
27,0.40375981466666666,0.404517904
32,0.4043085026666667,0.40508863533333334
36,0.41636089833333334,0.417118211
42,0.4223030683333333,0.4230602486666667
48,0.4242867236666667,0.4250425676666667
55,0.4317455553333333,0.4325068116666667
64,0.4394586846666667,0.440297212
73,0.4518106493333333,0.452626444
84,0.462818053,0.463612152
97,0.48020119066666667,0.4809989513333333
111,0.483495065,0.4842946083333333
128,0.4956460873333333,0.4964510556666667
147,0.5259997416666666,0.5268193856666666
168,0.541232054,0.5420374313333334
194,0.5598188383333333,0.560613043
222,0.5723429956666666,0.5731961636666666
256,0.594126185,0.594942439
294,0.5974625043333334,0.5989307883333334
337,0.5971413663333334,0.5986304663333334
388,0.597015153,0.598501812
445,0.597732506,0.5985296536666667
512,0.6029228826666666,0.6037378096666667
588,0.6045564543333334,0.605694795
675,0.602922347,0.6037260916666666
776,0.6058378316666666,0.6066668643333334
891,0.607606791,0.6087437263333334
1024,0.6052345006666666,0.6067042296666666
1176,0.6056875933333333,0.607211615
1351,0.6057754383333334,0.6069718563333334
1552,0.605668057,0.6068522053333334
1782,0.606199535,0.6073943396666667
2048,0.6073723293333334,0.6085535566666667
2352,0.6080797283333333,0.6092956833333334
2702,0.6101248913333334,0.6116551093333333
3104,0.6172486936666667,0.618438848
3565,0.6290823373333334,0.6299096803333334
4096,0.6428243336666666,0.643658746
4705,0.6643879206666666,0.6652114383333334
5404,0.6932113163333333,0.694408567
6208,0.7193346006666667,0.72020668
7131,0.736111383,0.7369842893333334
8192,0.755882795,0.757103424
9410,0.778129516,0.7793313193333333
10809,0.809137818,0.810000051
12416,0.847595381,0.848816395
14263,0.8976732343333333,0.8988672496666666
16384,0.9532862453333334,0.9544921556666667
18820,1.037689058,1.038894194
21618,1.1623113226666668,1.1635143816666667
24833,1.3164355386666668,1.3176702563333333
28526,1.5012946273333332,1.502180799
32768,1.7354172546666669,1.7366497916666668
37640,2.41252069,2.4137365063333336
43237,2.532890072,2.534477148
49667,2.6945239696666663,2.696103612
57052,3.017885396,3.018778335
65536,3.460531946,3.461769103
75281,4.236028937,4.236937501333333
86475,4.59369578,4.595293766333333
