Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.26241938766666667,0.263170844
4,0.26258279433333337,0.2633358923333333
5,0.2634219606666667,0.26419723466666667
6,0.263891539,0.2646572403333333
6,0.26336259566666664,0.26413712233333336
8,0.26509307266666665,0.26585205233333337
9,0.2697970096666667,0.270577932
10,0.270324543,0.2710814876666667
12,0.2737325683333333,0.2745075576666667
13,0.2716044116666667,0.2723627243333333
16,0.272424519,0.27321946033333333
18,0.285737519,0.28649371933333334
21,0.2882909913333333,0.2890459166666667
24,0.2903033466666667,0.291088925
27,0.293186117,0.293958626
32,0.2971376266666667,0.2979061786666667
36,0.305696932,0.306460692
42,0.311442245,0.3122075163333333
48,0.3112172706666667,0.3119679036666667
55,0.3157016676666667,0.3164834443333333
64,0.3202722426666667,0.321050043
73,0.33054838633333333,0.331271081
84,0.338295381,0.339050995
97,0.3535538713333333,0.354304507
111,0.3558943936666667,0.3566442576666667
128,0.3639338703333333,0.364754276
147,0.38285673966666667,0.3836543043333333
168,0.3952111993333333,0.39604617633333333
194,0.40621097133333334,0.4070294366666667
222,0.41460770566666666,0.4154021016666667
256,0.4299600486666667,0.4307531326666667
294,0.4323825296666667,0.433532622
337,0.432755809,0.4342417903333333
388,0.4318328283333333,0.4326360786666667
445,0.4319793973333333,0.43282460266666667
512,0.4371115,0.43792687
588,0.4394725536666667,0.4403043763333333
675,0.4388354953333333,0.439985533
776,0.43923804,0.4403885943333333
891,0.438635535,0.4397678443333333
1024,0.438556455,0.4397232113333333
1176,0.441222068,0.44202838666666666
1351,0.44084351,0.442317501
1552,0.4392648063333333,0.4404378123333333
1782,0.44044549466666666,0.4415980703333333
2048,0.440136563,0.4416169323333333
2352,0.44086058666666667,0.4420270906666667
2702,0.4417431766666667,0.442920745
3104,0.4417299746666667,0.442914576
3565,0.4424495466666667,0.4433066386666667
4096,0.444915321,0.445742822
4705,0.4498818566666667,0.4507277353333333
5404,0.4574501773333333,0.45863581033333334
6208,0.472017724,0.4732042086666667
7131,0.4932705226666667,0.494105227
8192,0.5182592116666667,0.519087905
9410,0.543295343,0.544486368
10809,0.5700822766666667,0.5712691596666666
12416,0.5987466876666666,0.5999550323333334
14263,0.6355173153333333,0.6370461693333334
16384,0.6754480376666666,0.6766612633333333
18820,0.7350248106666666,0.735892594
21618,0.8202273966666667,0.82144014
24833,0.932405118,0.933270547
28526,1.061286629,1.062148181
32768,1.2217176053333332,1.2229456663333333
37640,1.6750244993333332,1.676269334
43237,1.7848312986666668,1.7857231116666668
49667,1.902860356,1.904411064
57052,2.125684408666667,2.1265537253333333
65536,2.432557264,2.4334327133333336
75281,2.9733878993333334,2.974274184
86475,3.227136775,3.2283709813333337
