Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.3130741086666667,0.31382496
4,0.313144123,0.3139182656666667
5,0.3146330533333333,0.3154133423333333
6,0.314659405,0.3154134563333333
6,0.3154205493333333,0.316212533
8,0.315841298,0.3166279143333333
9,0.32012434533333334,0.32088046566666667
10,0.320513977,0.321288874
12,0.322480429,0.32323615933333333
13,0.32262128533333334,0.32340258266666666
16,0.324465017,0.32522103
18,0.3385267886666667,0.339299691
21,0.3414330646666667,0.3422073033333333
24,0.3424395,0.343219078
27,0.3474059716666667,0.3481822583333333
32,0.351858259,0.3526483103333333
36,0.3621379533333333,0.362892841
42,0.364103017,0.3648824276666667
48,0.3633117526666667,0.3640680393333333
55,0.3738260903333333,0.3745826686666667
64,0.376564456,0.3773298646666667
73,0.3909536996666667,0.39172098666666666
84,0.398187275,0.39893618
97,0.41473756733333333,0.4154970873333333
111,0.41795097766666667,0.41869955166666667
128,0.42963249033333334,0.4304481136666667
147,0.4543331776666667,0.455136009
168,0.468193225,0.468991668
194,0.4834728756666667,0.4842681146666667
222,0.4934625736666667,0.494262502
256,0.510515083,0.5113176816666667
294,0.5124021853333333,0.5131935133333333
337,0.512087623,0.513227019
388,0.5118332856666666,0.5129857666666667
445,0.5124650283333333,0.513604035
512,0.519891292,0.5206976193333334
588,0.5203473923333333,0.5211540283333334
675,0.521470618,0.5226099926666666
776,0.5211860116666667,0.5219853093333333
891,0.5214521723333333,0.5229288513333333
1024,0.5224833903333334,0.5236452553333333
1176,0.5229068393333333,0.5237072766666667
1351,0.523258286,0.5244075996666667
1552,0.5217195686666667,0.522529462
1782,0.5216520243333334,0.5227921923333333
2048,0.5232069716666666,0.52435773
2352,0.5234626903333333,0.5242999806666667
2702,0.5236223816666666,0.5247951103333333
3104,0.5242415963333333,0.525430127
3565,0.5268845733333333,0.5276911033333334
4096,0.5371222436666666,0.5382982043333334
4705,0.5482438806666666,0.5494074236666666
5404,0.569672593,0.5708477403333334
6208,0.5900825133333334,0.5909212783333334
7131,0.6197656956666666,0.6209352516666666
8192,0.6401290496666666,0.641309673
9410,0.6608207163333334,0.6616709053333334
10809,0.6836153756666666,0.684822212
12416,0.7125865406666666,0.7137755173333333
14263,0.748728207,0.7499361183333334
16384,0.7953232626666666,0.796556565
18820,0.8565777616666667,0.857787437
21618,0.9371713816666666,0.938049829
24833,1.0543669756666667,1.0555711073333334
28526,1.1976574373333333,1.1988937293333333
32768,1.3766493496666667,1.3785498746666667
37640,1.9167454696666668,1.9186457403333332
43237,2.042678919,2.043903198333333
49667,2.1847243796666667,2.185953993
57052,2.4013599403333337,2.4025771016666666
65536,2.7541466013333333,2.7550161826666666
75281,3.3845443856666666,3.385780263
86475,3.6517973153333334,3.653353604
