Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.26408358933333337,0.26484399933333336
4,0.26383601166666665,0.26460678933333337
5,0.26548387633333337,0.266244933
6,0.26518395433333336,0.26595506133333335
6,0.265326792,0.26609698066666665
8,0.26565743733333336,0.266408352
9,0.2715001106666667,0.2722677996666667
10,0.2725589663333333,0.27332591733333333
12,0.2758402193333333,0.27660910133333333
13,0.2866727593333333,0.2874152903333333
16,0.2867654903333333,0.2875159503333333
18,0.2972391576666667,0.297998041
21,0.3047040283333333,0.3054722456666667
24,0.30206643,0.302800432
27,0.3114978713333333,0.312253427
32,0.3226577386666667,0.3233980933333333
36,0.333721138,0.3344948233333333
42,0.3399260806666667,0.3406847303333333
48,0.3409735656666667,0.34176740866666666
55,0.4384795033333333,0.4392577356666667
64,0.5449356596666666,0.545710646
73,0.5845916643333334,0.5853597876666666
84,0.67899501,0.6797843293333333
97,0.752379508,0.7531409353333334
111,0.765511617,0.7662696366666666
128,0.7848286053333333,0.7856383113333334
147,0.8135752843333334,0.8143926173333333
168,0.9135206873333334,0.9143157143333334
194,0.9559920183333334,0.9567930386666667
222,0.9844077346666666,0.9852060946666666
256,1.0209273166666666,1.021724213
294,1.0262330546666667,1.0270550743333333
337,1.0282601426666667,1.0297319746666667
388,1.0272760683333333,1.0280983346666666
445,1.0265185916666666,1.0276730106666667
512,1.1167138316666667,1.117498229
588,1.1211571926666668,1.122299869
675,1.1208978026666667,1.122097513
776,1.1199988186666667,1.1207963293333332
891,1.1208783233333333,1.121682999
1024,1.1197576496666668,1.120904572
1176,1.127786726,1.1286052196666667
1351,1.1253744946666668,1.1265230813333333
1552,1.1220113646666667,1.1228432603333331
1782,1.1229090653333333,1.12375318
2048,1.1202460536666667,1.1217070253333332
2352,1.1336547076666668,1.1348174656666667
2702,1.1271222443333333,1.1282769086666669
3104,1.1311486396666668,1.132656881
3565,1.1365430523333333,1.1377192633333333
4096,1.161957269,1.1627729123333332
4705,1.1811756103333333,1.1823351293333333
5404,1.2222135083333332,1.2233674083333332
6208,1.2606827853333333,1.2615269296666667
7131,1.284597106,1.2861161456666668
8192,1.310190647,1.3110135683333333
9410,1.3467358616666667,1.3482571646666668
10809,1.3813489106666668,1.3822124853333333
12416,1.4367837136666668,1.4376524643333333
14263,1.504944919,1.505804054
16384,1.6303880086666667,1.63160403
18820,1.8914771386666667,1.8927004673333332
21618,2.1311590246666667,2.132026279666667
24833,2.6565134733333333,2.6573736203333334
28526,3.660053852,3.6612652696666665
32768,5.070955949,5.072165102
37640,6.970708239333333,6.971599146
43237,7.138450055333333,7.139679882666667
49667,7.180512914,7.182072253333333
57052,7.862620821,7.864170227333333
65536,10.336718049666667,10.337590849
75281,12.343288145333334,12.344500050666666
86475,13.134946127666666,13.135827653666666
