Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.3043086093333333,0.3050760303333333
4,0.30369435133333333,0.3044438656666667
5,0.305257346,0.306033895
6,0.30533198333333333,0.3060987183333333
6,0.3050907063333333,0.3058594293333333
8,0.3062138246666667,0.306952672
9,0.310848681,0.3116052136666667
10,0.3122221023333333,0.31301550666666667
12,0.31395275266666667,0.3147119116666667
13,0.3129889766666667,0.31375858933333334
16,0.31551723633333334,0.316274268
18,0.3300959063333333,0.33086793233333334
21,0.332444564,0.3331960373333333
24,0.33232870433333334,0.333069895
27,0.3371669703333333,0.33791804566666667
32,0.340500054,0.341245173
36,0.3504258913333333,0.351174349
42,0.353312454,0.3540833453333333
48,0.354337112,0.3550849413333333
55,0.3598676456666667,0.3606350976666667
64,0.3671315676666667,0.3678884896666667
73,0.3787822376666667,0.3795333653333333
84,0.385387925,0.386138453
97,0.4013827423333333,0.4021352053333333
111,0.403528674,0.4042840906666667
128,0.4141130503333333,0.414918126
147,0.4376235493333333,0.4384205963333333
168,0.44963369633333333,0.45043114666666667
194,0.4636792773333333,0.464490728
222,0.4726467203333333,0.47344585266666667
256,0.487544979,0.4883400216666667
294,0.490402522,0.4915375526666667
337,0.489753705,0.49088913533333334
388,0.4893873773333333,0.4901906146666667
445,0.49008176833333333,0.4912237526666667
512,0.496391618,0.4975447833333333
588,0.4978202463333333,0.49896038966666667
675,0.4984327886666667,0.499605192
776,0.499274774,0.5004474253333333
891,0.5008354696666667,0.5020094493333334
1024,0.5000538083333333,0.5011886103333333
1176,0.5005994296666667,0.5014243936666667
1351,0.501099945,0.5022409886666667
1552,0.5003087926666667,0.5014695266666667
1782,0.5000341953333333,0.5008655836666667
2048,0.4997420186666667,0.500880463
2352,0.499584411,0.5004030726666667
2702,0.5001462533333333,0.5013201766666667
3104,0.5014248763333333,0.5022515093333333
3565,0.501960988,0.503124948
4096,0.5087347576666666,0.5095827403333333
4705,0.5177668516666667,0.5192649606666667
5404,0.5359189686666667,0.5371168996666666
6208,0.556368503,0.557535227
7131,0.5845656633333334,0.5853778183333334
8192,0.609216989,0.610377979
9410,0.631039815,0.6318641633333334
10809,0.65430872,0.6551672716666667
12416,0.6826121143333334,0.6834545303333334
14263,0.7177759903333334,0.7189569126666666
16384,0.7604976556666666,0.761692722
18820,0.817892472,0.8191030246666666
21618,0.8888816223333333,0.8897368283333333
24833,0.9967161463333334,0.9975730713333334
28526,1.1288213303333332,1.1297071723333332
32768,1.294295627,1.295497902
37640,1.7950153146666668,1.7962183943333332
43237,1.9236619,1.9245285453333332
49667,2.053911365,2.055130979
57052,2.264668932,2.2658727866666664
65536,2.583846016,2.58472852
75281,3.1849277386666666,3.1858046506666664
86475,3.4334994933333336,3.434765042
