Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.523639854,0.5243922166666667
4,0.523811163,0.5245860273333333
5,0.5240273266666667,0.5247995706666667
6,0.52545542,0.5262310893333333
6,0.524746547,0.5254943813333333
8,0.5262875906666666,0.527093544
9,0.5314985413333333,0.5322778513333333
10,0.5299314123333333,0.5306988183333333
12,0.534040313,0.5347933346666667
13,0.5325040436666667,0.5332593766666667
16,0.5365193366666667,0.537269639
18,0.5520818373333334,0.5528555426666666
21,0.5615612766666667,0.5623241193333334
24,0.5638729683333333,0.5646344033333334
27,0.5719002153333334,0.5726556536666666
32,0.5761892403333334,0.5769508873333333
36,0.5985353346666666,0.5992805093333333
42,0.605080535,0.60583973
48,0.605871759,0.6066341533333334
55,0.6153841246666666,0.6161466853333334
64,0.6243340303333333,0.6250853083333334
73,0.648931759,0.6496842003333334
84,0.6636133556666667,0.664364089
97,0.686611958,0.6873723186666666
111,0.6970934906666666,0.6978390206666666
128,0.7149291673333333,0.7157450333333334
147,0.7559999763333334,0.7567969116666666
168,0.7757132113333334,0.776508884
194,0.80270906,0.8035098156666667
222,0.820783263,0.8215806993333333
256,0.8500428416666667,0.850836112
294,0.853838744,0.8549908636666667
337,0.853974533,0.8547738623333334
388,0.8544402306666666,0.8552658816666666
445,0.853414669,0.8542141393333333
512,0.8669480533333334,0.868420766
588,0.8686282373333334,0.8694607996666667
675,0.868641771,0.870124899
776,0.866060235,0.86688595
891,0.867068939,0.8678845623333333
1024,0.867661859,0.8688268603333333
1176,0.870013332,0.870834587
1351,0.8705356786666666,0.871677767
1552,0.870698882,0.8715244583333334
1782,0.871285582,0.8720944666666667
2048,0.8761169063333334,0.8772628483333333
2352,0.895413719,0.896554422
2702,0.8992660156666666,0.9007636586666666
3104,0.9288105266666666,0.929998972
3565,0.9611460646666666,0.961990359
4096,0.992876688,0.9937278436666667
4705,1.017654888,1.0195205333333335
5404,1.0352888593333334,1.0368049713333334
6208,1.0486737243333333,1.0501978096666666
7131,1.058397886,1.059595464
8192,1.0753312056666668,1.076519803
9410,1.100095946,1.101267141
10809,1.132904244,1.1344505626666668
12416,1.1806296246666668,1.1814836773333333
14263,1.2390892673333334,1.240625614
16384,1.308171061,1.3090251476666668
18820,1.411271705,1.4121546276666668
21618,1.5669999766666667,1.567865495
24833,1.778601933,1.779463656
28526,2.033270661,2.034150886
32768,2.3501905836666666,2.351063079
37640,3.3591099336666663,3.3599895776666666
43237,3.4838439236666665,3.4847008753333335
49667,3.6714350353333334,3.6726460586666665
57052,4.070141417333334,4.071016265333333
65536,4.681511168333333,4.682397459666667
75281,5.7875295793333335,5.789094096333333
86475,6.192984509666667,6.194565154
