Scene Count,RELEASE_CUDA Kernel Time (s),RELEASE_CUDA Simulation Time (s)
4,0.26215824633333334,0.262906292
4,0.26206645866666667,0.262854892
5,0.26226280333333335,0.26303645833333333
6,0.263586482,0.2643240783333333
6,0.26355012766666663,0.264312438
8,0.26436523266666667,0.26513855966666666
9,0.2701993266666667,0.2709552076666667
10,0.2702018,0.2709566573333333
12,0.27349264666666667,0.27426475933333333
13,0.27145743333333333,0.27221756033333333
16,0.2729855306666667,0.2737386216666667
18,0.2854910553333333,0.2862447166666667
21,0.289935963,0.2907125083333333
24,0.289380229,0.2901230573333333
27,0.2932472166666667,0.294020245
32,0.295923566,0.2966881376666667
36,0.302631905,0.3034127146666667
42,0.3073094386666667,0.30808109333333333
48,0.311006525,0.311770937
55,0.314411647,0.3151679386666667
64,0.3183298176666667,0.319082804
73,0.32891275566666667,0.32967249
84,0.3344341373333333,0.33519722
97,0.348286019,0.3490446433333333
111,0.35104883233333334,0.3518374636666667
128,0.3588100483333333,0.359623803
147,0.377237914,0.3780652053333333
168,0.3877487726666667,0.388583471
194,0.3992806583333333,0.4001039986666667
222,0.4060263863333333,0.406848974
256,0.419260222,0.4200587943333333
294,0.4203761823333333,0.42184895933333333
337,0.4208804133333333,0.422037765
388,0.4196843916666667,0.42048335
445,0.420441175,0.42123862
512,0.426299554,0.427433468
588,0.4272609173333333,0.4280709323333333
675,0.4283290713333333,0.4291580543333333
776,0.4275475396666667,0.428689426
891,0.42751869366666667,0.42832166066666666
1024,0.4287499563333333,0.429924697
1176,0.4286783103333333,0.42981316966666666
1351,0.4300346366666667,0.4311866223333333
1552,0.428088127,0.42889488233333334
1782,0.4286092113333333,0.42975546833333333
2048,0.4295365446666667,0.430352887
2352,0.42971934466666667,0.43122825633333334
2702,0.42903297,0.43020305966666667
3104,0.4303139863333333,0.431146987
3565,0.4310359756666667,0.4322052216666667
4096,0.434276092,0.43544901566666666
4705,0.4385266636666667,0.4393867483333333
5404,0.4465889516666667,0.4480951216666667
6208,0.4621718673333333,0.463022545
7131,0.4852606583333333,0.4861107553333333
8192,0.5097837716666667,0.510955212
9410,0.5353929893333333,0.5365631413333333
10809,0.5617727133333333,0.5626478326666666
12416,0.5904353726666667,0.591632637
14263,0.62736977,0.6282315086666667
16384,0.667807099,0.6690222513333334
18820,0.7261544703333334,0.7270321416666666
21618,0.814054725,0.8152934086666667
24833,0.9251020383333334,0.9263237446666667
28526,1.05529926,1.0565185756666666
32768,1.2123986636666668,1.2136295453333332
37640,1.6594435446666667,1.6603347723333333
43237,1.762809859,1.7637024556666667
49667,1.885732033,1.88728962
57052,2.1134478783333335,2.114332081666667
65536,2.4176039043333333,2.4188179226666664
75281,2.948507555,2.9500829883333335
86475,3.2100322453333336,3.2109316976666666
